Season.1,Application.1,Field,W_kg,P_N,P_P,P_C,DM,N2O_m,N_applied,N2O_EF_kg
Spring,K3 Bedding Pack Manure,8700E,249.81,2,3,35,35,0.018,4.9962,0.0899316
Spring,K3 Bedding Pack Manure,8710,211.96,2,3,35,35,0.018,4.2392,0.0763056
Spring,K3 Bedding Pack Manure,9100S,741.86,2,3,35,35,0.018,14.8372,0.2670696
Spring,K3 Bedding Pack Manure,9400,1165.78,2,3,35,35,0.018,23.3156,0.4196808
Spring,K3 Bedding Pack Manure,9450,1165.78,2,3,35,35,0.018,23.3156,0.4196808
Spring,Liquid,6130,75.7,9,18,7,15,0.018,6.813,0.122634
Spring,Liquid,7400,93.868,9,18,7,15,0.018,8.44812,0.15206616
Spring,Liquid,7500,109.008,9,18,7,15,0.018,9.81072,0.17659296
Spring,Liquid,9400,317.94,9,18,7,15,0.018,28.6146,0.5150628
Spring,Potassium Chloride,4450,190.764,0,0,0,98,0.018,0,0
Spring,Potassium Chloride,8100,355.79,0,0,0,98,0.018,0,0
Summer,Diammonium Phosphate (DAP),6600,2876.6,18,20,0,98,0.018,517.788,9.320184
Summer,Farm Lagoon,1200,245268,2,2,12,15,0.018,4905.36,88.29648
Summer,Farm Lagoon,1400,89386.56,2,2,12,15,0.018,1787.7312,32.1791616
Summer,Farm Lagoon,1500SW,47691,2,2,12,15,0.018,953.82,17.16876
Summer,Farm Lagoon,3400,264344.4,2,2,12,15,0.018,5286.888,95.163984
Summer,Farm Lagoon,3500,1381676.4,2,2,12,15,0.018,27633.528,497.403504
Summer,Farm Lagoon,4150,585918,2,2,12,15,0.018,11718.36,210.93048
Summer,Farm Lagoon,4600,971533.8,2,2,12,15,0.018,19430.676,349.752168
Summer,Farm Lagoon,5100,860618.16,2,2,12,15,0.018,17212.3632,309.8225376
Summer,Farm Lagoon,6150,641784.6,2,2,12,15,0.018,12835.692,231.042456
Summer,Farm Lagoon,6300,221422.5,2,2,12,15,0.018,4428.45,79.7121
Summer,Farm Lagoon,7150,305494.92,2,2,12,15,0.018,6109.8984,109.9781712
Summer,Farm Lagoon,8200N&S,379620.36,2,2,12,15,0.018,7592.4072,136.6633296
Summer,Farm Lagoon,8400,188311.32,2,2,12,15,0.018,3766.2264,67.7920752
Summer,Farm Lagoon,8500,640422,2,2,12,15,0.018,12808.44,230.55192
Summer,Farm Lagoon,8600,282058.2,2,2,12,15,0.018,5641.164,101.540952
Summer,Potassium Chloride,6600,5753.2,0,0,0,98,0.018,0,0
Winter,Farm Lagoon,7150,305494.92,2,2,12,15,0.018,6109.8984,109.9781712
